"",Date,Price,Open,High,Low,Vol.,Change %
0,12/01/2023,3.6008,3.7248,3.7482,3.5945,NaN,-3.28%
1,11/01/2023,3.7231,4.0426,4.0531,3.6679,NaN,-7.77%
2,10/01/2023,4.0369,3.8107,4.0877,3.8059,NaN,6.01%
3,09/01/2023,3.8080,3.8015,3.8603,3.7753,NaN,0.19%
4,08/01/2023,3.8009,3.6653,3.8182,3.6295,NaN,3.74%
